Record Date,FEI Number,Legal Name,Record Type,Date Posted,Download,Record ID
05/19/2023,3010705046,"Laboratorios Farmeceuticos Rovi, SA",483,03/28/2025,https://www.fda.gov/media/186009/download,281450
02/27/2025,3011688532,Eagle Pharma Outsourcing LLC,483,03/28/2025,https://www.fda.gov/media/185964/download,281454
03/06/2025,3012384835,SKNV,483,03/28/2025,https://www.fda.gov/media/186005/download,281453
12/14/2023,3015786877,"Suzhou Suncadia Biopharmaceutical CO., Ltd.",483,03/28/2025,https://www.fda.gov/media/186008/download,281451
02/28/2025,3016492204,Palmetto Isotopes LLC,483,03/28/2025,https://www.fda.gov/media/186006/download,281452
02/07/2025,3016710945,Revive Rx LLC dba Revive Rx Pharmacy,483,03/28/2025,https://www.fda.gov/media/185963/download,281455
06/16/2023,1819470,Eli Lilly & Company,483,03/24/2025,https://www.fda.gov/media/185939/download,281456
10/06/2023,1819470,Eli Lilly & Company,483,03/24/2025,https://www.fda.gov/media/185930/download,281459
02/04/2022,3003909356,UCB Pharma S.A.,483,03/24/2025,https://www.fda.gov/media/185938/download,281457
12/02/2022,3005709762,Bushu Pharmaceuticals Ltd.,483,03/24/2025,https://www.fda.gov/media/185936/download,281458
10/22/2020,3013316698,MedisourceRx,483,03/11/2025,https://www.fda.gov/media/185741/download,281460
10/12/2023,3014250111,"Dr. Reddy's Laboratories Ltd., Biologics",483,03/06/2025,https://www.fda.gov/media/185729/download,281461
02/14/2025,3008565058,Glenmark Pharmaceuticals Limited,483,03/05/2025,https://www.fda.gov/media/185699/download,281462
02/21/2025,3015156709,BPI Labs LLC,483,02/28/2025,https://www.fda.gov/media/185637/download,281464
01/24/2025,3015826782,Carolina Infusion,483,02/28/2025,https://www.fda.gov/media/185650/download,281463
08/29/2019,3012039582,"Reliant Compounded Solutions Monroe, LLC",483,02/27/2025,https://www.fda.gov/media/185620/download,281465
11/18/2022,3002806677,"Chunghwa Chemical Synthesis & Biotech Co., Ltd",483,02/24/2025,https://www.fda.gov/media/185544/download,281466
03/29/2023,3004579906,Japan Food Research Laboratories,483,02/24/2025,https://www.fda.gov/media/185573/download,281470
11/25/2022,3008538640,"Fuji Yakuhin Co., Ltd.",483,02/24/2025,https://www.fda.gov/media/185576/download,281468
02/17/2025,3008763768,Piramal Pharma Limited,483,02/24/2025,https://www.fda.gov/media/185578/download,281469
09/01/2023,3010166685,"Oishi Koseido Co., Ltd.",483,02/24/2025,https://www.fda.gov/media/185549/download,281467
02/06/2018,3004886113,"Hanlim Pharm Co., Ltd.",483,02/21/2025,https://www.fda.gov/media/185518/download,281471
07/26/2024,3005124189,Indoco Remedies Limited,483,02/21/2025,https://www.fda.gov/media/185524/download,281477
08/26/2022,3005987757,Vetter Pharma Fertigung GmbH & Co. KG (Ravensburg Mooswiesen),483,02/21/2025,https://www.fda.gov/media/185520/download,281473
04/15/2022,3007807424,"Kyowa Hakko Bio Co., Ltd.",483,02/21/2025,https://www.fda.gov/media/185527/download,281479
11/06/2023,3008470621,Daizo Corporation,483,02/21/2025,https://www.fda.gov/media/185522/download,281475
09/02/2022,3008927877,"Meiji Seika Pharma Co., Ltd. - Gifu Plant",483,02/21/2025,https://www.fda.gov/media/185525/download,281478
08/15/2023,3013501887,AMMAN PHARMACEUTICAL INDUSTRIES,483,02/21/2025,https://www.fda.gov/media/185523/download,281476
09/07/2023,3015685285,"Zhejiang Peptites Biotech Co.,Ltd.",483,02/21/2025,https://www.fda.gov/media/185519/download,281472
09/22/2023,3016688535,Rovi Pharma Industrial Services S.A.,483,02/21/2025,https://www.fda.gov/media/185521/download,281474
06/07/2024,3002617771,AstraZeneca Pharmaceuticals LP,483,02/20/2025,https://www.fda.gov/media/185506/download,281481
11/20/2024,3003885745,Zhejiang Huahai Pharmaceutical,483,02/20/2025,https://www.fda.gov/media/185507/download,281482
05/09/2023,3010606982,Wuxi Biologics Co Ltd,483,02/20/2025,https://www.fda.gov/media/185505/download,281480
11/19/2024,3012637764,Janssen Vaccines Corporation,483,02/20/2025,https://www.fda.gov/media/185510/download,281483
04/04/2019,3004969894,Triangle Compounding Pharmacy Inc,483,02/19/2025,https://www.fda.gov/media/185444/download,281485
03/22/2019,3014539004,CMC Enterprise Pharmacy,483,02/19/2025,https://www.fda.gov/media/185494/download,281484
11/15/2024,3008563008,Exela Pharma Sciences LLC,483,02/14/2025,https://www.fda.gov/media/185443/download,281486
10/22/2024,1000076625,Boothwyn Pharmacy LLC,483,02/12/2025,https://www.fda.gov/media/185420/download,281488
09/30/2024,3010943533,"Pine Pharmaceuticals, LLC",483,02/12/2025,https://www.fda.gov/media/185430/download,281487
09/27/2024,301406135,OurPharma LLC,483,02/07/2025,https://www.fda.gov/media/185237/download,281495
11/22/2024,3010039017,Advanced Nutriceuticals LLC,483,02/07/2025,https://www.fda.gov/media/185235/download,281493
11/08/2024,3010348724,F.H. Investments Inc.,483,02/07/2025,https://www.fda.gov/media/185398/download,281492
09/23/2024,3011152407,AnazaoHealth Corporation,483,02/07/2025,https://www.fda.gov/media/185396/download,281491
12/18/2024,3013236711,Overton Brooks VA Medical Center,483,02/07/2025,https://www.fda.gov/media/185236/download,281494
10/04/2024,3021758709,"Empower Clinic Services, LLC",483,02/07/2025,https://www.fda.gov/media/185397/download,281490
01/24/2025,3027507354,Turbare Manufacturing,483,02/07/2025,https://www.fda.gov/media/185399/download,281489
12/20/2024,3013736415,SCA Pharmaceuticals LLC,483,01/21/2025,https://www.fda.gov/media/185240/download,281496
10/28/2024,3012053582,"QuVa Pharma, Inc.",483,01/16/2025,https://www.fda.gov/media/185187/download,281497
11/12/2024,1783599,"Taylor Farms Colorado, Inc.",483,01/14/2025,https://www.fda.gov/media/185084/download,281499
03/04/2022,3010972581,Zhejiang Tianyu Pharmaceutical Co Ltd,483,01/14/2025,https://www.fda.gov/media/185102/download,281498
05/13/2016,3004117486,"Hubei Gedian Humanwell Pharmaceutical Co., Ltd.",483,01/10/2025,https://www.fda.gov/media/184979/download,281500
